metric,coef,p
CBO,0.2513416738652956,0.03290949409022194
NOI,0.20402382886209508,0.1193721237260382
NUMPAR,0.16456700454118156,0.24218768694223058
NA,0.15556195963909958,0.22216888925727574
SLOC,0.147011853912558,0.2634134387076671
NL,0.1453175205161348,0.26606348630968213
NOD,0.1342984725242782,0.2794257129091783
CLOC,0.07770877145464752,0.5695712391270397
AvgMcCC,0.07650512941723797,0.5447611085301942
AvgNOI,0.010495312226273134,0.9363212769786319
AvgNUMPAR,-0.0004002922083402802,0.997284023625946
DIT,-0.03452287074174398,0.804758726126136
AvgNOS,-0.07615701148429381,0.5645867157418335
NOA,-0.18873067997692214,0.18007275333849537
