metric,mythril,slither,mythril_p,slither_p
NOD,0.27810266221501867,0.13112032966634943,0.005091981395836726,0.27942571290917695
DIT,0.2749548841532295,-0.034057627306664465,0.026013687542580405,0.8047587261261387
CBO,0.2256394044509499,0.24670581605653777,0.024445852813450023,0.03290949409022057
NOA,0.1967666275116082,-0.18726906618721587,0.09211027869336748,0.18007275333849704
NUMPAR,0.11768157254594933,0.1637530603682081,0.2712326743337895,0.24218768694223092
NL,0.09385633874327615,0.14524600656539938,0.37967352226736983,0.2660634863096797
AvgMcCC,0.07155749937685899,0.07676405237940627,0.48480345913153944,0.544761108530194
NOI,0.06657705796936081,0.20380603488950969,0.5477464533671794,0.11937212372603806
SLOC,0.0664539997751395,0.14642276326000228,0.5579388661216087,0.2634134387076664
CLOC,0.018021791417169183,0.07754376159457643,0.8759040121976354,0.5695712391270401
NA,-0.004498328885154751,0.15510968060450503,0.9674744071346892,0.22216888925727551
AvgNUMPAR,-0.033264562759762965,-0.00040118573915117443,0.7469924736275775,0.9972840236259464
AvgNOI,-0.07120950681656818,0.010454108901511126,0.5147660730218284,0.9363212769786324
AvgNOS,-0.19443353044646688,-0.07607683738300557,0.09650819397425148,0.5645867157418337
