metric,n,events,coef,p
CLOC,133,102,0.0006438402781836216,0.9973812614101651
DIT,133,102,-0.05324391140678601,0.7551356055865819
NOA,133,102,-0.1472588759129145,0.4583082617844363
AvgMcCC,133,102,-0.15777756648055602,0.4028186517367818
SLOC,133,102,-0.23067566950253246,0.21670104978843152
NOD,133,102,-0.2359927862831989,0.20110762526318138
AvgNOS,133,102,-0.248586072637833,0.2324830526266346
AvgNOI,133,102,-0.2535445406199215,0.2232677634869097
LLOC,133,102,-0.3144201296736478,0.1050300495772279
AvgNUMPAR,133,102,-0.4477088635722482,0.042057878890894504
NUMPAR,133,102,-0.4589338373559974,0.043855621166938905
NA,133,102,-0.4718524062984415,0.028829753770860635
CBO,133,102,-0.6347397230902609,0.002078894594200164
