,SLOC,LLOC,CLOC,NF,WMC,NL,NLE,NUMPAR,NOS,DIT,NOA,NOD,CBO,NA,NOI,AvgMcCC,AvgNL,AvgNLE,AvgNUMPAR,AvgNOS,AvgNOI
SLOC,1.0,0.8655880180360848,0.8334558670174669,0.8292231973848629,0.8513647442772682,0.4528074351887398,0.4529796870574116,0.7745765291428435,0.8719038183290673,0.5029420637252122,0.5679982631908558,0.5190409974135387,0.5178182956857149,0.7675420404279835,0.7593761524011944,0.027906485322143744,-0.0071110129391602,0.01751358097164547,0.37825589535536736,0.15147528748956707,0.23372237098212362
LLOC,0.8655880180360848,1.0,0.5756130916604105,0.9127758738702493,0.9197611238330449,0.43484046830775097,0.42930828969793344,0.7466380205772744,0.9152085425139662,0.5481146048606977,0.616146728194713,0.5671997492072637,0.6504028477541145,0.8402444551928158,0.8796602730187463,0.020951377305735264,-0.01866863245813171,-0.0037925282907493463,0.17008482336321673,0.07526678916728334,0.3108434378191938
CLOC,0.8334558670174669,0.5756130916604105,1.0,0.6249487834743607,0.6213440760482944,0.31297113822005773,0.3174170691346702,0.6682313808238768,0.6523320041733545,0.4349834612233266,0.4781572006729489,0.4424641668619327,0.4252612248775741,0.5667374954703405,0.5636139664729417,-0.045744313548657094,-0.06523431634184128,-0.04165176719384726,0.45059484813551076,0.10528252103705965,0.1844760334034384
NF,0.8292231973848629,0.9127758738702493,0.6249487834743607,1.0,0.9016996883094894,0.3060328933102783,0.3007751182730705,0.8754555131856839,0.8313449420954896,0.7125367881361988,0.7785723770053821,0.7224552691713173,0.7762048079126902,0.786661352230583,0.8626446584931244,-0.16292062890093995,-0.19475642649255168,-0.1746118100431209,0.29841466734600675,-0.17517746239294174,0.1680385928112935
WMC,0.8513647442772682,0.9197611238330449,0.6213440760482944,0.9016996883094894,1.0,0.6024504926398725,0.5985051688279259,0.7582426484784969,0.921565111297361,0.573480629950168,0.6296048206118553,0.5884886975332025,0.5575225814439556,0.8239238838743685,0.7723022706063184,0.19732662266273904,0.15292459836276642,0.17063717749891427,0.2185429514910712,0.07640494427140791,0.14973356733499363
NL,0.4528074351887398,0.43484046830775097,0.31297113822005773,0.3060328933102783,0.6024504926398725,1.0,0.9878779921901132,0.23493594500769752,0.5609812165406449,0.11700368496405227,0.06738544779593042,0.14612275859373422,-0.12241534065000689,0.44531647996390367,0.23343419994781014,0.8227390171255848,0.8171724546381934,0.8089751440241828,0.009682025863925805,0.5036341265701431,0.12086653620947918
NLE,0.4529796870574116,0.42930828969793344,0.3174170691346702,0.3007751182730705,0.5985051688279259,0.9878779921901132,1.0,0.22553327168864234,0.5576687020854701,0.1118559921263062,0.06332304874628979,0.14003183495816604,-0.12768641167951067,0.4579667113529734,0.22641783224430756,0.8131694586202356,0.8056512104140673,0.8311859550091384,-0.0026040479442541666,0.5007409853690364,0.10582287273855728
NUMPAR,0.7745765291428435,0.7466380205772744,0.6682313808238768,0.8754555131856839,0.7582426484784969,0.23493594500769752,0.22553327168864234,1.0,0.7306063806620166,0.7090792856791034,0.7801648933530203,0.7173511067011088,0.7370918159379932,0.6231259768701047,0.7579718482254066,-0.2081584126548598,-0.23827069875248455,-0.22491514513554628,0.6668723934579622,-0.17121669567597336,0.1683680969593641
NOS,0.8719038183290673,0.9152085425139662,0.6523320041733545,0.8313449420954896,0.921565111297361,0.5609812165406449,0.5576687020854701,0.7306063806620166,1.0,0.4364158785745916,0.5064051346099313,0.4594909774595306,0.518489962250391,0.8440344681093886,0.8298056578428524,0.18288881635566204,0.13111477403645241,0.14746525171622854,0.2568260894335061,0.29368874528664196,0.3599868419841953
DIT,0.5029420637252122,0.5481146048606977,0.4349834612233266,0.7125367881361988,0.573480629950168,0.11700368496405227,0.1118559921263062,0.7090792856791034,0.4364158785745916,1.0,0.9366870030682587,0.9894250490866562,0.7036959970430458,0.5154559061229296,0.5342965290478028,-0.2743347684777792,-0.2882540245587707,-0.267132016142017,0.34432643729283535,-0.3479297909853524,-0.014208664821525715
NOA,0.5679982631908558,0.616146728194713,0.4781572006729489,0.7785723770053821,0.6296048206118553,0.06738544779593042,0.06332304874628979,0.7801648933530203,0.5064051346099313,0.9366870030682587,1.0,0.9353417539518739,0.7928183561517397,0.5352276999023493,0.6043579912236241,-0.3080718228247468,-0.32909255133180576,-0.30968658049415826,0.38356017605981624,-0.3867968325097898,-0.015012123783924317
NOD,0.5190409974135387,0.5671997492072637,0.4424641668619327,0.7224552691713173,0.5884886975332025,0.14612275859373422,0.14003183495816604,0.7173511067011088,0.4594909774595306,0.9894250490866562,0.9353417539518739,1.0,0.7108618931208595,0.5304546996848325,0.5522988158269224,-0.25036908021424154,-0.26471738465401506,-0.24552111680688943,0.3417932924518045,-0.3218334352521505,0.007357261189077693
CBO,0.5178182956857149,0.6504028477541145,0.4252612248775741,0.7762048079126902,0.5575225814439556,-0.12241534065000689,-0.12768641167951067,0.7370918159379932,0.518489962250391,0.7036959970430458,0.7928183561517397,0.7108618931208595,1.0,0.5334458715405705,0.7575094068546016,-0.47163341455393104,-0.49458837205705414,-0.48374792052540405,0.2815966666889768,-0.37538704895158037,0.2289397966716413
NA,0.7675420404279835,0.8402444551928158,0.5667374954703405,0.786661352230583,0.8239238838743685,0.44531647996390367,0.4579667113529734,0.6231259768701047,0.8440344681093886,0.5154559061229296,0.5352276999023493,0.5304546996848325,0.5334458715405705,1.0,0.7691160609260851,0.062105801820262485,0.028462592200605357,0.05912425520596537,0.12230298566901374,0.18070552417176927,0.28711492831888824
NOI,0.7593761524011944,0.8796602730187463,0.5636139664729417,0.8626446584931244,0.7723022706063184,0.23343419994781014,0.22641783224430756,0.7579718482254066,0.8298056578428524,0.5342965290478028,0.6043579912236241,0.5522988158269224,0.7575094068546016,0.7691160609260851,1.0,-0.17367716964194077,-0.207964375805542,-0.19815235532106718,0.21375848989705984,0.01228216115681426,0.5738435720513994
AvgMcCC,0.027906485322143744,0.020951377305735264,-0.045744313548657094,-0.16292062890093995,0.19732662266273904,0.8227390171255848,0.8131694586202356,-0.2081584126548598,0.18288881635566204,-0.2743347684777792,-0.3080718228247468,-0.25036908021424154,-0.47163341455393104,0.062105801820262485,-0.17367716964194077,1.0,0.979695565645827,0.9497087489563028,-0.2016212868789783,0.6441831090696797,0.030103049289901665
