metric,coef_category,coef_line,p_category,p_line
AvgNUMPAR,0.36188737861446774,0.15748890713186856,0.00015440607735180728,0.13102862814486466
CBO,0.13078908754124066,-0.026061718185438808,0.024925843186931057,0.6353524690255431
CLOC,0.1301375670781068,0.05988149332217872,0.0019238784680781548,0.13958225979404434
LLOC,0.12183898836424756,0.28406900946649033,0.3863066711827926,0.03148627450256362
NOI,0.1081655172406284,0.4256142786737972,0.5299917280691115,0.03171366946815154
NOA,0.08991908637435253,0.11249621378205259,0.012437084250863062,0.0019684775478922005
NA,0.08346082802528186,-0.0349501171381412,0.11476241172549592,0.5588809279773449
AvgMcCC,0.06690756066634827,-0.011109795533902674,0.2167458375921526,0.8515497448070555
NL,-0.02015442478804748,0.07578062345376414,0.6881360857375975,0.12136529132723205
SLOC,-0.08099276271268518,0.028385663520395565,0.2672212033336512,0.6744967448646063
AvgNOI,-0.1025654087442664,-0.13429757087818353,0.21716440001946546,0.15567010853747662
AvgNOS,-0.110665054121472,-0.013080738112156416,0.08968362207252371,0.8505164319392184
NUMPAR,-0.5945025990001704,-0.5077797631320133,0.0012478157297881015,0.015464094562015515
