metric,coef,se_1way,p_1way,se_2way,p_2way,se_ratio,sig_1way,sig_2way,changed,model
AvgNUMPAR,0.3618873786144677,0.0956393866206067,0.0001544060773518,0.11326432730011972,0.0013979725258540035,1.184285379719442,True,True,False,RQ2 detection
CBO,0.1307890875412406,0.0583215908470092,0.024925843186931,0.0475053095141722,0.005902543501388851,0.8145407013808905,True,True,False,RQ2 detection
CLOC,0.1301375670781068,0.0419563314092709,0.0019238784680781,0.04927714240288707,0.008267838694808129,1.1744864421582513,True,True,False,RQ2 detection
LLOC,0.1218389883642475,0.1406373261369183,0.3863066711827926,0.11665419335327391,0.2962791590425251,0.8294682255243145,False,False,False,RQ2 detection
NOI,0.1081655172406284,0.1722329721708315,0.5299917280691115,0.24900938492449465,0.6640101260010097,1.4457707010798808,False,False,False,RQ2 detection
NOA,0.0899190863743525,0.0359749174044452,0.012437084250863,0.03481260611602069,0.009796061640286336,0.967691064433663,True,True,False,RQ2 detection
NA,0.0834608280252818,0.0529189673807974,0.1147624117254959,0.05694692109265556,0.14276006535300634,1.0761155009483383,False,False,False,RQ2 detection
AvgMcCC,0.0669075606663482,0.054166183357315,0.2167458375921526,0.06857308201119,0.3292073363807728,1.2659758868155402,False,False,False,RQ2 detection
NL,-0.0201544247880474,0.0502120993056872,0.6881360857375975,0.12014948984459013,0.8667842293403362,2.3928394053618383,False,False,False,RQ2 detection
SLOC,-0.0809927627126851,0.0730003516379746,0.2672212033336512,0.10252597463904836,0.42954347432974327,1.4044586407952946,False,False,False,RQ2 detection
AvgNOI,-0.1025654087442664,0.08310925480993,0.2171644000194654,0.167527455785306,0.5403853014503563,2.01574970403043,False,False,False,RQ2 detection
AvgNOS,-0.110665054121472,0.0652095207325432,0.0896836220725237,0.061185262740941965,0.0704994790994015,0.9382872631727087,False,False,False,RQ2 detection
NUMPAR,-0.5945025990001704,0.1841866148802447,0.0012478157297881,0.10242880393300624,6.47293216346794e-09,0.5561142648699193,True,True,False,RQ2 detection
NOI,0.9107467152109336,0.2418059157695271,0.0001655939345152,0.32144899937472343,0.004607673430629969,1.3293678045540733,True,True,False,RQ3 analysis
AvgNOS,0.4391320086341981,0.0888933683776095,7.812811996347443e-07,0.10479348013613458,2.783997726407374e-05,1.1788672434031648,True,True,False,RQ3 analysis
SLOC,0.3141432035511669,0.1073114480052037,0.0034181233379781,0.21540614434213248,0.144736865202964,2.0072988329417294,True,False,True,RQ3 analysis
NOA,0.1799982135346252,0.0377544847390691,1.8643512883189452e-06,0.12785822463774169,0.15919167901090814,3.386570510004376,True,False,True,RQ3 analysis
NL,0.1266129459947323,0.0546343523088444,0.0204786673658329,0.16518709363298723,0.4433895145589517,3.023502368970999,True,False,True,RQ3 analysis
AvgMcCC,-0.0381221081187331,0.0773170861162112,0.6219688621279729,0.10255042145308799,0.7100863352401825,1.326361695769935,False,False,False,RQ3 analysis
AvgNUMPAR,-0.1542950653563717,0.1333429161598313,0.2472193226422718,0.2330312354372031,0.5078931538730642,1.747608663049491,False,False,False,RQ3 analysis
CLOC,-0.158982469709438,0.0579151409789509,0.0060493683106636,0.09232975281882377,0.08508789336853625,1.594224778842907,True,False,True,RQ3 analysis
NA,-0.2160306731263056,0.0639879054507516,0.0007351657490941,0.1502613624040112,0.1505193585979462,2.3482775587905453,True,False,True,RQ3 analysis
CBO,-0.2571418383453934,0.0568745743470633,6.148743810114765e-06,0.10393165632920028,0.013355601672262905,1.8273834577641415,True,True,False,RQ3 analysis
NUMPAR,-0.2783782136203132,0.2672129566335571,0.2975117803437688,0.36755303017053315,0.44882076876183175,1.3755060188738437,False,False,False,RQ3 analysis
LLOC,-0.2854338416717743,0.1733933448329006,0.099730046825913,0.2874492944194474,0.32071556221443853,1.6577873545058068,False,False,False,RQ3 analysis
AvgNOI,-0.5381475723356589,0.1149403038364063,2.8412482261956822e-06,0.16770945158944345,0.0013328607228523968,1.4591004720863023,True,True,False,RQ3 analysis
