family,metric,p_raw,p_bh,sig_raw,sig_bh,lost_star
Table 3 (RQ2 detection),AvgNUMPAR,0.0001544060773518,0.0020072790055734,True,True,False
Table 3 (RQ2 detection),CBO,0.024925843186931,0.0648071922860206,True,False,True
Table 3 (RQ2 detection),CLOC,0.0019238784680781,0.008336806695005099,True,True,False
Table 3 (RQ2 detection),LLOC,0.3863066711827926,0.45654424776148217,False,False,False
Table 3 (RQ2 detection),NOI,0.5299917280691115,0.5741577054082041,False,False,False
Table 3 (RQ2 detection),NOA,0.012437084250863,0.04042052381530475,True,True,False
Table 3 (RQ2 detection),NA,0.1147624117254959,0.2131301932044924,False,False,False
Table 3 (RQ2 detection),AvgMcCC,0.2167458375921526,0.31368191113922783,False,False,False
Table 3 (RQ2 detection),NL,0.6881360857375975,0.6881360857375975,False,False,False
Table 3 (RQ2 detection),SLOC,0.2672212033336512,0.3473875643337465,False,False,False
Table 3 (RQ2 detection),AvgNOI,0.2171644000194654,0.31368191113922783,False,False,False
Table 3 (RQ2 detection),AvgNOS,0.0896836220725237,0.194314514490468,False,False,False
Table 3 (RQ2 detection),NUMPAR,0.0012478157297881,0.008110802243622648,True,True,False
Table 4 (RQ3 analysis),NOI,0.0001655939345152,0.00043054422973951993,True,True,False
Table 4 (RQ3 analysis),AvgNOS,7.812811996347443e-07,1.0156655595251674e-05,True,True,False
Table 4 (RQ3 analysis),SLOC,0.0034181233379781,0.006347943341959329,True,True,False
Table 4 (RQ3 analysis),NOA,1.8643512883189452e-06,1.2118283374073144e-05,True,True,False
Table 4 (RQ3 analysis),NL,0.0204786673658329,0.02958029730620308,True,True,False
Table 4 (RQ3 analysis),AvgMcCC,0.6219688621279729,0.6219688621279729,False,False,False
Table 4 (RQ3 analysis),AvgNUMPAR,0.2472193226422718,0.29216829039541214,False,False,False
Table 4 (RQ3 analysis),CLOC,0.0060493683106636,0.00983022350482835,True,True,False
Table 4 (RQ3 analysis),NA,0.0007351657490941,0.0015928591230372166,True,True,False
Table 4 (RQ3 analysis),CBO,6.148743810114765e-06,1.9983417382872986e-05,True,True,False
Table 4 (RQ3 analysis),NUMPAR,0.2975117803437688,0.3223044287057495,False,False,False
Table 4 (RQ3 analysis),LLOC,0.099730046825913,0.12964906087368688,False,False,False
Table 4 (RQ3 analysis),AvgNOI,2.8412482261956822e-06,1.2312075646847956e-05,True,True,False
Table 9 (RQ5 interaction),NOA,0.0059194874525965,0.08287282433635101,True,False,True
Table 9 (RQ5 interaction),DIT,0.0294516749702679,0.20616172479187533,True,False,True
Table 9 (RQ5 interaction),NA,0.2532594421273959,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),NOD,0.2906100232209214,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),NOI,0.3402013007613563,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),AvgNOS,0.3956970997344694,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),AvgNOI,0.5130297859171329,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),SLOC,0.5888818886296043,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),CLOC,0.6676023727272316,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),NL,0.6795053389911996,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),NUMPAR,0.7210728982520355,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),AvgNUMPAR,0.7634342595055068,0.8906733027564246,False,False,False
Table 9 (RQ5 interaction),CBO,0.8606783427546818,0.9268843691204265,False,False,False
Table 9 (RQ5 interaction),AvgMcCC,0.9642515641338282,0.9642515641338282,False,False,False
