family,metric,p_raw,p_bh,sig_raw,sig_bh
RQ2 detection,CLOC,0.0033457240778450178,0.026765792622760142,True,True
RQ2 detection,NOA,0.11049817461967869,0.2060753597744581,False,False
RQ2 detection,CBO,0.28366885489942006,0.32419297702790867,False,False
RQ2 detection,AvgNUMPAR,0.1287970998590363,0.2060753597744581,False,False
RQ2 detection,AvgNOS,0.42887767846707336,0.42887767846707336,False,False
RQ2 detection,NA,0.2552171548782183,0.32419297702790867,False,False
RQ2 detection,NL,0.09143267946334706,0.2060753597744581,False,False
RQ2 detection,AvgNOI,0.01725543186797135,0.0690217274718854,True,False
RQ3 analysis,AvgNOS,1.2636962424685925e-08,2.527392484937185e-08,True,True
RQ3 analysis,NL,5.250095897518618e-11,2.1000383590074473e-10,True,True
RQ3 analysis,NOA,2.4998828725409994e-10,6.666354326775999e-10,True,True
RQ3 analysis,NA,0.9144881506833998,0.9144881506833998,False,False
RQ3 analysis,CLOC,0.7735320912088836,0.8840366756672955,False,False
RQ3 analysis,AvgNOI,0.004419333684732642,0.005892444912976857,True,True
RQ3 analysis,CBO,0.000330170266306982,0.0005282724260911712,True,True
RQ3 analysis,AvgNUMPAR,2.187934478804172e-12,1.7503475830433375e-11,True,True
RQ5 interaction,NOA,0.005919487452596516,0.059194874525965155,True,False
RQ5 interaction,DIT,0.02945167497026798,0.14725837485133988,True,False
RQ5 interaction,NA,0.25325944212739593,0.7265250580523036,False,False
RQ5 interaction,NOD,0.29061002322092144,0.7265250580523036,False,False
RQ5 interaction,AvgNOI,0.5130297859171329,0.9542928243818835,False,False
RQ5 interaction,CLOC,0.6676023727272316,0.9542928243818835,False,False
RQ5 interaction,NL,0.6795053389911996,0.9542928243818835,False,False
RQ5 interaction,AvgNUMPAR,0.7634342595055068,0.9542928243818835,False,False
RQ5 interaction,CBO,0.8606783427546818,0.9563092697274242,False,False
RQ5 interaction,AvgMcCC,0.9642515641338282,0.9642515641338282,False,False
