family,metric,coef,p_2way,p_2way_bh,survives
RQ2 detection,CLOC,0.07384197738397016,4.689627703977905e-07,3.751702163182324e-06,True
RQ2 detection,NL,-0.05050490648107054,0.5556788324055238,0.5947423719251987,False
RQ2 detection,NOA,0.05542624820303798,0.06203938191649485,0.1654383517773196,False
RQ2 detection,CBO,0.04942662113092058,0.41547695057965317,0.5947423719251987,False
RQ2 detection,NA,-0.04592781055528502,0.028595750264586047,0.11438300105834419,False
RQ2 detection,AvgNUMPAR,0.043141331801689,0.5947423719251987,0.5947423719251987,False
RQ2 detection,AvgNOS,0.03259161704295753,0.5703755985026369,0.5947423719251987,False
RQ2 detection,AvgNOI,-0.08872676280519456,0.272237694264053,0.544475388528106,False
RQ3 analysis,CLOC,-0.010922357154479095,0.8992989442115672,0.9650606849445773,False
RQ3 analysis,NL,0.2340634908088835,0.19963853400222575,0.26618471200296767,False
RQ3 analysis,NOA,0.22724990117871144,0.054697745824386086,0.21879098329754434,False
RQ3 analysis,CBO,-0.16092595538649432,0.19608030370194107,0.26618471200296767,False
RQ3 analysis,NA,0.005335134078899279,0.9650606849445773,0.9650606849445773,False
RQ3 analysis,AvgNUMPAR,-0.24520039503291527,0.17048144782985863,0.26618471200296767,False
RQ3 analysis,AvgNOS,0.2870563531962154,0.0011050368324863396,0.008840294659890717,True
RQ3 analysis,AvgNOI,-0.10061196278873537,0.13976900593479039,0.26618471200296767,False
