,coef,std_err,z,p,odds_ratio
SLOC,-0.07990042062575511,0.07308238923887185,-1.0932923985913807,0.2742654393071885,0.9232082743117509
LLOC,0.12395124482923281,0.14048063391580817,0.8823368842677516,0.37759465599552344,1.1319606807174902
CLOC,0.1300854250712789,0.04195430479507851,3.100645469080415,0.0019309933818054891,1.1389256719758276
NL,-0.0259620691455294,0.050403507036245715,-0.5150845778818484,0.6064939190449848,0.9743720476721599
NUMPAR,-0.6166783111183238,0.18624245892186247,-3.3111585547581797,0.0009291054861031891,0.5397342926771416
NOA,0.09227291551488273,0.03602990145434084,2.561009378052734,0.010436853885151842,1.0966640778846528
CBO,0.12880777733551288,0.058626838691560025,2.1970786794966,0.028014827508022273,1.1374714553559278
NA,0.0815487940950885,0.0525284335336403,1.5524695599929315,0.12054991075317732,1.0849661562342374
NOI,0.12214692998845816,0.17343070120952386,0.7042981959744883,0.4812470895591032,1.129920108732855
AvgMcCC,0.06987181087977495,0.05427558457734938,1.2873525255209188,0.19797144351929308,1.0723707061856196
AvgNUMPAR,0.3765347629340028,0.09689186597300775,3.886133878760249,0.0001018533496369823,1.4572261960017978
AvgNOS,-0.11570890402341018,0.06553969881309028,-1.7654781166052531,0.07748344489449796,0.8907344747839291
AvgNOI,-0.10816169027898404,0.08395599042205291,-1.2883141481060172,0.19763663011600574,0.8974824705069859
n_bugs_z,0.020703128414715787,0.023573690050189517,0.8782302800553428,0.37981876270913273,1.0209189248252268
