tool,n,events,coef,p,note
solhint,2112,1288,-0.926133749326233,3.253274125540188e-05,
smartcheck,2285,1721,-0.7648804798213278,0.003500714320020343,
sfuzz,1857,1279,-0.5232520708262894,0.0004951943558564255,
slither,2105,1060,-0.4328991002561246,0.09873860249508493,
vandal,1987,1536,-0.21921435761228827,0.35829961118862486,
confuzzius,1427,734,-0.061511845902273,0.8124332161233355,
securify,1915,1707,-0.043147920102092514,0.8533669480808276,
mythril,1078,796,0.13106460405691198,0.5916036804240132,
osiris,2016,884,0.15677952940054188,0.38184734360501904,
oyente,2096,973,0.43882637930419366,0.031216299169961638,
conkas,1781,207,0.8454588956852466,0.0051189485380850755,
ethainter,2258,2258,,,insufficient variation
ethor-2023,2043,2043,,,insufficient variation
madmax,2258,2258,,,insufficient variation
maian,2091,2087,,,no variation after dropping degenerate categories
manticore,180,180,,,insufficient variation
pakala,1282,1282,,,insufficient variation
semgrep,2242,2237,,,no variation after dropping degenerate categories
teether,2234,2234,,,insufficient variation
