tool,n,events,coef,p,note
madmax,1937,1935,-0.7752002939577841,0.1168941795230458,
solhint,1719,467,-0.6154038823122073,0.00010659298733495832,
sfuzz,1453,1039,-0.45366591478694884,0.004606022307345513,
vandal,1653,1021,-0.1477186160512373,0.5668209205393926,
smartcheck,1973,1214,-0.026746978039799123,0.8652507277910838,
securify,1427,1134,0.06381393953948865,0.7519587279320183,
osiris,1589,1336,0.0825201800431224,0.5720242042230242,
slither,1671,239,0.09302585010137293,0.41242355823237564,
oyente,1656,1441,0.19879387839640378,0.2950536387250926,
mythril,616,428,0.6367368181154385,0.004143358005482421,
conkas,1250,408,0.8699906495039468,9.07720228811222e-06,
confuzzius,1181,600,0.9346922700704869,0.020487568328459282,
ethainter,1937,1937,,,insufficient variation
ethor-2023,1600,1600,,,insufficient variation
maian,1652,1647,,,no variation after dropping degenerate categories
manticore,136,136,,,insufficient variation
pakala,1582,1582,,,insufficient variation
semgrep,1943,1927,,,no variation after dropping degenerate categories
teether,1920,1920,,,insufficient variation
