tool,baseline,A: +density ctrl,B: single-bug,D: no arithmetic,sign_stable
confuzzius,-0.1830544743660141,-0.1830544743660141,-0.061511845902273,0.9346922700704869,False
conkas,0.7812705791413446,0.7812705791413446,0.8454588956852466,0.8699906495039468,True
madmax,-0.6927859607835507,-0.6927859607835507,,-0.7752002939577841,True
mythril,0.15352335996513625,0.15352335996513625,0.13106460405691198,0.6367368181154385,True
osiris,0.20758160957758293,0.20758160957758293,0.15677952940054188,0.0825201800431224,True
oyente,0.2507560209287758,0.2507560209287758,0.43882637930419366,0.19879387839640378,True
securify,0.05702964996251075,0.05702964996251075,-0.043147920102092514,0.06381393953948865,False
sfuzz,-0.35260757055610137,-0.35260757055610137,-0.5232520708262894,-0.45366591478694884,True
slither,-0.6253218667760801,-0.6253218667760801,-0.4328991002561246,0.09302585010137293,False
smartcheck,-0.577532260377862,-0.577532260377862,-0.7648804798213278,-0.026746978039799123,True
solhint,-0.5499780807627088,-0.5499780807627088,-0.926133749326233,-0.6154038823122073,True
vandal,-0.132014118343776,-0.132014118343776,-0.21921435761228827,-0.1477186160512373,True
