,coef,std_err,z,p,odds_ratio
AvgNUMPAR,0.36188737861446774,0.09563938662060673,3.783873897582008,0.00015440607735180728,1.436037204353336
CBO,0.13078908754124066,0.05832159084700922,2.242550068367136,0.024925843186931057,1.1397273732577455
CLOC,0.1301375670781068,0.0419563314092709,3.101738467280552,0.0019238784680781548,1.1389850593942683
LLOC,0.12183898836424756,0.14063732613691832,0.8663346475005539,0.3863066711827926,1.1295722128679015
NOI,0.1081655172406284,0.17223297217083156,0.6280186417113153,0.5299917280691115,1.1142321547562564
NOA,0.08991908637435253,0.035974917404445285,2.499493893577128,0.012437084250863062,1.0940857536785165
NA,0.08346082802528186,0.05291896738079745,1.5771439269536283,0.11476241172549592,1.087042632852332
AvgMcCC,0.06690756066634827,0.05416618335731502,1.2352275260928562,0.2167458375921526,1.0691966377815614
NL,-0.02015442478804748,0.05021209930568726,-0.4013858226749084,0.6881360857375975,0.9800473180211902
SLOC,-0.08099276271268518,0.07300035163797466,-1.1094845558326445,0.2672212033336512,0.9222003656494645
AvgNOI,-0.1025654087442664,0.08310925480993006,-1.2341033375745258,0.21716440001946546,0.9025191151802576
AvgNOS,-0.110665054121472,0.06520952073254323,-1.6970689690446368,0.08968362207252371,0.8952385551811511
NUMPAR,-0.5945025990001704,0.18418661488024476,-3.22771879697505,0.0012478157297881015,0.551836981881303
