,coef,std_err,z,p,odds_ratio
NOI,0.9107467152109335,0.24180591576952715,3.766436864509944,0.0001655939345152069,2.486178307590545
AvgNOS,0.43913200863419816,0.08889336837760957,4.939986150247026,7.812811996347443e-07,1.551360066794659
SLOC,0.3141432035511669,0.10731144800520376,2.9273969309959686,0.003418123337978128,1.369085780455562
NOA,0.17999821353462522,0.037754484739069165,4.767598201343194,1.8643512883189454e-06,1.1972152243363554
NL,0.12661294599473236,0.05463435230884446,2.3174603641129954,0.02047866736583293,1.134977635115001
AvgMcCC,-0.03812210811873319,0.07731708611621128,-0.493061883649286,0.6219688621279729,0.9625953930020291
AvgNUMPAR,-0.1542950653563717,0.1333429161598313,-1.157129825865111,0.24721932264227187,0.8570191070519789
CLOC,-0.15898246970943802,0.057915140978950924,-2.7450933732030403,0.006049368310663634,0.8530113123742209
NA,-0.2160306731263056,0.06398790545075163,-3.3761172772341155,0.0007351657490941136,0.8057105878318268
CBO,-0.2571418383453934,0.05687457434706335,-4.5212090164622145,6.148743810114765e-06,0.7732585282766168
NUMPAR,-0.2783782136203132,0.26721295663355715,-1.0417841152892429,0.2975117803437688,0.7570104556989584
LLOC,-0.2854338416717743,0.1733933448329006,-1.6461637668207354,0.09973004682591301,0.7516880699593907
AvgNOI,-0.5381475723356589,0.11494030383640633,-4.681974506536892,2.8412482261956822e-06,0.5838287518225919
