tool,n,events,coef,p,note
solhint,1941,99,-0.3995642087472988,2.7797047318209325e-07,
slither,2167,179,-0.384375650210117,1.1894113822275989e-08,
maian,2167,187,-0.3777785937686195,3.3262736182095494e-08,
oyente,2103,168,-0.3501760572650698,2.5526727848981815e-06,
sfuzz,2163,468,-0.33198477628453116,2.857504974153599e-09,
conkas,2167,489,-0.24827871668615842,2.8861267943677486e-05,
osiris,1941,177,-0.2317496688079357,0.0018733112608945684,
confuzzius,2151,653,0.0893137939464629,0.08240707542566243,
securify,2167,282,0.20907040933614843,0.0044919244315771425,
mythril,2167,1192,0.3037189290199154,1.80404710183995e-11,
pakala,2145,744,0.37802752484155083,4.398751297266489e-18,
vandal,2148,261,0.6312260124918929,8.260352242076552e-22,
manticore,2122,1954,1.0278513334062642,9.593722526616792e-23,
ethor-2023,2148,216,1.3631212636671874,4.0624161794945764e-48,
ethainter,2149,1,,,too few observations
madmax,2149,2,,,too few observations
semgrep,1941,0,,,insufficient variation
smartcheck,2167,4,,,too few observations
teether,2149,19,,,too few observations
