tool,n,events,coef,p,note
madmax,3338,3336,-0.6927859607835507,0.11689417952304372,
slither,3019,1371,-0.6253218667760801,6.073298300597377e-06,
smartcheck,3375,2401,-0.577532260377862,2.4328645668239802e-05,
solhint,3060,1808,-0.5499780807627088,0.00010659298733496,
sfuzz,2667,1790,-0.35260757055610137,0.0021188229778976776,
confuzzius,2071,1111,-0.1830544743660141,0.3238306983699524,
vandal,2849,2217,-0.132014118343776,0.5668209205393923,
securify,2691,2398,0.05702964996251075,0.7519587279320192,
mythril,1500,1126,0.15352335996513625,0.29045736123463195,
osiris,2893,1382,0.20758160957758293,0.15679155791390512,
oyente,2998,1533,0.2507560209287758,0.12562109528158227,
conkas,2430,435,0.7812705791413446,3.3626145801811355e-07,
ethainter,3338,3338,,,insufficient variation
ethor-2023,2901,2901,,,insufficient variation
maian,2971,2966,,,no variation after dropping degenerate categories
manticore,246,246,,,insufficient variation
pakala,2094,2094,,,insufficient variation
semgrep,3334,3318,,,no variation after dropping degenerate categories
teether,3315,3315,,,insufficient variation
