strategy,@5%,@10%,@25%,@50%,cost_model,auc,tool_set
complexity model,0.028066528066528068,0.10914760914760915,0.4584199584199584,0.843035343035343,LOC,0.9145047667999773,slither
largest first,0.002079002079002079,0.007276507276507277,0.01975051975051975,0.10395010395010396,LOC,0.9145047667999773,slither
smallest first,0.23076923076923078,0.28482328482328484,0.5758835758835759,0.895010395010395,LOC,0.9145047667999773,slither
random,0.0550935550935551,0.10914760914760915,0.27546777546777546,0.5353430353430353,LOC,0.9145047667999773,slither
complexity model,0.079002079002079,0.158004158004158,0.4022869022869023,0.7671517671517671,contracts,0.9145047667999773,slither
largest first,0.031185031185031187,0.06756756756756757,0.2505197505197505,0.6174636174636174,contracts,0.9145047667999773,slither
smallest first,0.030145530145530147,0.062370062370062374,0.2515592515592516,0.38253638253638256,contracts,0.9145047667999773,slither
random,0.05301455301455302,0.0997920997920998,0.26195426195426197,0.5135135135135135,contracts,0.9145047667999773,slither
complexity model,0.09269988412514485,0.20278099652375434,0.5214368482039398,0.8435689455388181,LOC,0.8899502894885933,slither+mythril
largest first,0.002317497103128621,0.006952491309385863,0.019698725376593278,0.10660486674391657,LOC,0.8899502894885933,slither+mythril
smallest first,0.22247972190034762,0.27578215527230593,0.578215527230591,0.8922363847045192,LOC,0.8899502894885933,slither+mythril
random,0.054461181923522596,0.11123986095017381,0.2746234067207416,0.5341830822711472,LOC,0.8899502894885933,slither+mythril
complexity model,0.08458864426419467,0.17265353418308227,0.4380069524913094,0.7902665121668598,contracts,0.8899502894885933,slither+mythril
largest first,0.030127462340672075,0.06952491309385864,0.253765932792584,0.6222479721900348,contracts,0.8899502894885933,slither+mythril
smallest first,0.02433371958285052,0.054461181923522596,0.24333719582850522,0.37775202780996525,contracts,0.8899502894885933,slither+mythril
random,0.05214368482039398,0.10196987253765932,0.26187717265353416,0.5133256083429896,contracts,0.8899502894885933,slither+mythril
complexity model,0.22598870056497175,0.3333333333333333,0.6949152542372882,0.8757062146892656,LOC,0.7977444411448087,combo3
largest first,0.0,0.0,0.01694915254237288,0.11299435028248588,LOC,0.7977444411448087,combo3
smallest first,0.288135593220339,0.3389830508474576,0.5875706214689266,0.8813559322033898,LOC,0.7977444411448087,combo3
random,0.096045197740113,0.14124293785310735,0.2542372881355932,0.5028248587570622,LOC,0.7977444411448087,combo3
complexity model,0.22598870056497175,0.3333333333333333,0.6384180790960452,0.8757062146892656,contracts,0.7977444411448087,combo3
largest first,0.05084745762711865,0.07344632768361582,0.3672316384180791,0.5536723163841808,contracts,0.7977444411448087,combo3
smallest first,0.06779661016949153,0.10734463276836158,0.3220338983050847,0.4463276836158192,contracts,0.7977444411448087,combo3
random,0.0847457627118644,0.12429378531073447,0.23728813559322035,0.4689265536723164,contracts,0.7977444411448087,combo3
complexity model,0.28125,0.40625,0.5625,0.84375,LOC,0.7056343931501108,all19
largest first,0.0,0.0,0.0,0.0625,LOC,0.7056343931501108,all19
smallest first,0.28125,0.328125,0.625,0.9375,LOC,0.7056343931501108,all19
random,0.0625,0.140625,0.25,0.515625,LOC,0.7056343931501108,all19
complexity model,0.25,0.390625,0.53125,0.84375,contracts,0.7056343931501108,all19
largest first,0.015625,0.03125,0.375,0.5625,contracts,0.7056343931501108,all19
smallest first,0.078125,0.109375,0.3125,0.4375,contracts,0.7056343931501108,all19
random,0.046875,0.109375,0.234375,0.46875,contracts,0.7056343931501108,all19
